elapsed_month,value,label
0,1.0,not_linked
1,0.8,not_linked
2,1.0,not_linked
3,0.333333,not_linked
4,0.571429,not_linked
5,0.833333,not_linked
6,1.0,not_linked
7,0.0,not_linked
8,0.75,not_linked
9,0.9,not_linked
10,0.888889,not_linked
11,1.0,not_linked
12,0.789474,not_linked
13,0.736842,not_linked
14,1.0,not_linked
15,0.857143,not_linked
16,0.0,not_linked
17,1.0,not_linked
18,0.84375,not_linked
19,0.8,not_linked
20,0.75,not_linked
21,0.785714,not_linked
22,0.666667,not_linked
23,0.933333,not_linked
24,0.857143,not_linked
25,0.666667,not_linked
26,0.730769,not_linked
27,0.827586,not_linked
28,0.6,not_linked
29,0.744186,not_linked
30,0.693548,not_linked
31,0.75,not_linked
32,0.594595,not_linked
33,0.744681,not_linked
34,0.444444,not_linked
35,0.74359,not_linked
0,0.0,linked
1,0.2,linked
2,0.0,linked
3,0.666667,linked
4,0.428571,linked
5,0.166667,linked
6,0.0,linked
7,0.0,linked
8,0.25,linked
9,0.1,linked
10,0.111111,linked
11,0.0,linked
12,0.210526,linked
13,0.263158,linked
14,0.0,linked
15,0.142857,linked
16,0.0,linked
17,0.0,linked
18,0.15625,linked
19,0.2,linked
20,0.25,linked
21,0.214286,linked
22,0.333333,linked
23,0.066667,linked
24,0.142857,linked
25,0.333333,linked
26,0.269231,linked
27,0.172414,linked
28,0.4,linked
29,0.255814,linked
30,0.306452,linked
31,0.25,linked
32,0.405405,linked
33,0.255319,linked
34,0.555556,linked
35,0.25641,linked
0,1.0,total
1,1.0,total
2,1.0,total
3,1.0,total
4,1.0,total
5,1.0,total
6,1.0,total
7,0.0,total
8,1.0,total
9,1.0,total
10,1.0,total
11,1.0,total
12,1.0,total
13,1.0,total
14,1.0,total
15,1.0,total
16,0.0,total
17,1.0,total
18,1.0,total
19,1.0,total
20,1.0,total
21,1.0,total
22,1.0,total
23,1.0,total
24,1.0,total
25,1.0,total
26,1.0,total
27,1.0,total
28,1.0,total
29,1.0,total
30,1.0,total
31,1.0,total
32,1.0,total
33,1.0,total
34,1.0,total
35,1.0,total
