elapsed_month,month,elapsed_years,mean,median,std,count
0,2023-07-01,0.0,0.0,0.0,0.0,7
1,2023-08-01,0.08333333333333333,6.957446808510638,0.0,18.120319421803693,47
2,2023-09-01,0.16666666666666666,9.0,9.0,0.0,2
3,2023-10-01,0.25,1.5789473684210527,1.5,1.883521413755089,38
4,2023-11-01,0.3333333333333333,0.9629629629629629,1.0,1.3722940221362485,27
5,2023-12-01,0.4166666666666667,6.222222222222222,0.0,20.989618923746626,27
6,2024-01-01,0.5,1.1818181818181819,1.0,1.0787197799411874,11
7,2024-02-01,0.5833333333333334,1.25,0.0,2.23606797749979,16
8,2024-03-01,0.6666666666666666,0.6071428571428571,0.0,0.8317445171439015,28
9,2024-04-01,0.75,3.1,3.0,2.923088169119167,10
10,2024-05-01,0.8333333333333334,1.7857142857142858,2.0,0.9749612559222294,14
11,2024-06-01,0.9166666666666666,1.8,3.0,1.6431676725154984,5
12,2024-07-01,1.0,2.6,1.0,2.701851217221259,5
13,2024-08-01,1.0833333333333333,0.7142857142857143,1.0,0.7559289460184544,7
14,2024-09-01,1.1666666666666667,3.5,3.5,3.5355339059327378,2
15,2024-10-01,1.25,5.75,5.0,6.751543033509699,4
16,2024-11-01,1.3333333333333333,16.25,1.5,30.532769281544052,4
17,2024-12-01,1.4166666666666667,3.0,3.0,0.0,1
18,2025-01-01,1.5,4.333333333333333,5.0,2.0816659994661326,3
19,2025-02-01,1.5833333333333333,0.0,0.0,0.0,1
20,2025-03-01,1.6666666666666667,4.0,4.0,0.0,1
21,2025-04-01,1.75,2.4,1.0,3.0495901363953815,5
23,2025-06-01,1.9166666666666667,4.6,4.0,3.5777087639996634,5
